date,manufacturer,distributor,retailer,retailer_state,quantity,manufacturer_enc,distributor_enc,retailer_enc,retailer_state_enc,tx_freq_per_pair,vol_concentration,month,year,day_of_week
2011-09-13,TEVA PHARMACEUTICALS USA INC,AMERISOURCEBERGEN DRUG CORP,HOMETOWN PHARMACY #9385 (MI),MI,578,17,0,824,21,8,0.0099,9,2011,1
2013-11-06,LANNETT COMPANY INC,PRESCRIPTION SUPPLY INC,WALMART PHARMACY #6376 (OH),OH,260,8,17,1944,34,4,0.0155,11,2013,2
2009-03-10,CADISTA PHARMACEUTICALS INC,KEYSOURCE MEDICAL INC,VILLAGE PHARMACY #4543 (IL),IL,132,3,10,1714,13,7,0.0145,3,2009,1
2008-10-12,SUN PHARMA GLOBAL INC,MIAMI-LUKEN INC,KROGER PHARMACY #6848 (HI),HI,436,16,13,898,10,1,0.3487,10,2008,6
2011-01-23,ENDO PHARMACEUTICALS INC,PRESCRIPTION SUPPLY INC,QUALITY CARE PHARMACY #3905 (TN),TN,308,4,17,1389,41,7,0.0328,1,2011,6
2011-10-01,AMNEAL PHARMACEUTICALS LLC,NATIONAL WHOLESALE DRUG CO INC,WALMART PHARMACY #3043 (PA),PA,118,2,15,1909,37,2,0.0258,10,2011,5
2011-08-02,SANDOZ INC,DAKOTA DRUG INC,FAMILY CARE PHARMACY #5952 (MI),MI,258,15,5,372,21,4,0.0157,8,2011,1
2012-04-08,LANNETT COMPANY INC,VALUEDRUGCO,WALMART PHARMACY #3043 (PA),PA,445,8,19,1909,37,4,0.1524,4,2012,6
2011-12-24,ENDO PHARMACEUTICALS INC,AMERISOURCEBERGEN DRUG CORP,FAMILY CARE PHARMACY #1129 (MS),MS,342,4,0,312,24,1,0.0386,12,2011,5
2006-09-04,PURDUE PHARMA LP,PRESCRIPTION SUPPLY INC,WALGREENS #1373 (PA),PA,144,12,17,1775,37,2,0.0251,9,2006,0
2011-08-24,PURDUE PHARMA LP,HENRY SCHEIN INC,VILLAGE PHARMACY #8234 (IN),IN,447,12,9,1748,14,7,0.0218,8,2011,2
2014-02-25,RHODES TECHNOLOGIES,PENN PHARMACEUTICAL SERVICES INC,QUALITY CARE PHARMACY #8690 (FL),FL,892,14,16,1461,8,2,0.2739,2,2014,1
2013-08-15,CADISTA PHARMACEUTICALS INC,KINRAY LLC,PUBLIX PHARMACY #6736 (TN),TN,175,3,11,1340,41,3,0.0126,8,2013,3
2012-08-22,SANDOZ INC,MORRIS & DICKSON CO LLC,SUNRISE PHARMACY #8405 (VA),VA,2010,15,14,1636,44,1,0.081,8,2012,2
2011-04-02,HIKMA PHARMACEUTICALS,KINRAY LLC,WALGREENS #5175 (PA),PA,801,5,11,1820,37,3,0.048,4,2011,5
2009-04-30,WATSON LABORATORIES INC,GULF COAST MEDICAL SUPPLY,CORNER DRUG STORE #6747 (ID),ID,2124,19,7,157,12,2,0.1246,4,2009,3
2012-04-06,PURDUE PHARMA LP,MCKESSON CORPORATION,CVS PHARMACY #2361 (MN),MN,56,12,12,211,22,2,0.0308,4,2012,4
2013-10-02,ACTAVIS PHARMA INC,MCKESSON CORPORATION,PEOPLES PHARMACY #8009 (NH),NH,492,1,12,1262,29,1,0.1106,10,2013,2
2008-04-06,QUALITEST PHARMACEUTICALS,PRESCRIPTION SUPPLY INC,GOOD NEIGHBOR PHARMACY #6129 (NC),NC,688,13,17,462,26,5,0.0323,4,2008,6
2011-12-18,VINTAGE PHARMACEUTICALS LLC,NATIONAL WHOLESALE DRUG CO INC,PUBLIX PHARMACY #9368 (GA),GA,15,18,15,1356,9,1,0.1163,12,2011,6
2013-08-12,PURDUE PHARMA LP,DIRECT RX,HARRIS TEETER PHARMACY #1096 (WV),WV,20000,12,6,513,48,7,0.2245,8,2013,0
2014-01-06,RHODES TECHNOLOGIES,KINRAY LLC,MAIN STREET PHARMACY #8644 (MI),MI,6065,14,11,1037,21,3,0.1386,1,2014,0
2012-12-02,MALLINCKRODT LLC,VALUEDRUGCO,PUBLIX PHARMACY #1528 (VA),VA,22,9,19,1283,44,6,0.0118,12,2012,6
2014-03-16,JANSSEN PHARMACEUTICALS INC,ANDA INC,WALGREENS #9211 (LA),LA,526,7,1,1876,17,2,0.0454,3,2014,6
2012-02-07,VINTAGE PHARMACEUTICALS LLC,KINRAY LLC,QUALITY CARE PHARMACY #6507 (NC),NC,778,18,11,1428,26,11,0.074,2,2012,1
2012-08-05,ACTAVIS PHARMA INC,PRESCRIPTION SUPPLY INC,PEOPLES PHARMACY #6007 (WV),WV,2616,1,17,1237,48,13,0.0951,8,2012,6
2011-12-05,AMNEAL PHARMACEUTICALS LLC,BELLCO DRUG CORP,COMMUNITY PHARMACY #5242 (DE),DE,229,2,2,47,7,1,0.0695,12,2011,0
2012-10-09,MYLAN PHARMACEUTICALS INC,AMERISOURCEBERGEN DRUG CORP,VILLAGE PHARMACY #4915 (OH),OH,3395,10,0,1717,34,3,0.1404,10,2012,1
2012-12-17,JANSSEN PHARMACEUTICALS INC,KINRAY LLC,RITE AID #1394 (FL),FL,326,7,11,1483,8,2,0.036,12,2012,0
2013-03-23,AMNEAL PHARMACEUTICALS LLC,MCKESSON CORPORATION,VILLAGE PHARMACY #4294 (PA),PA,565,2,12,1710,37,4,0.0212,3,2013,5
2012-04-06,AMNEAL PHARMACEUTICALS LLC,HD SMITH WHOLESALE DRUG CO,KROGER PHARMACY #1887 (KY),KY,334,2,8,840,16,13,0.0314,4,2012,4
2010-08-12,SUN PHARMA GLOBAL INC,HD SMITH WHOLESALE DRUG CO,CORNER DRUG STORE #2236 (KY),KY,197,16,8,111,16,8,0.0146,8,2010,3
2008-04-30,CADISTA PHARMACEUTICALS INC,HD SMITH WHOLESALE DRUG CO,PUBLIX PHARMACY #8593 (NM),NM,214,3,8,1350,31,2,0.0462,4,2008,2
2009-01-16,ENDO PHARMACEUTICALS INC,BELLCO DRUG CORP,GOOD NEIGHBOR PHARMACY #5688 (MI),MI,47,4,2,453,21,6,0.0059,1,2009,4
2011-08-01,ABBOTT LABORATORIES,SMITH DRUG COMPANY,HARRIS TEETER PHARMACY #7622 (RI),RI,43,0,18,597,38,1,0.0548,8,2011,0
2013-12-19,IMPAX LABORATORIES INC,MCKESSON CORPORATION,MAIN STREET PHARMACY #2094 (KY),KY,135,6,12,951,16,3,0.0099,12,2013,3
2009-05-06,VINTAGE PHARMACEUTICALS LLC,DAKOTA DRUG INC,PUBLIX PHARMACY #5706 (MT),MT,184,18,5,1330,25,2,0.0041,5,2009,2
2011-04-28,PURDUE PHARMA LP,DAKOTA DRUG INC,MEDICO PHARMACY #5021 (MT),MT,334,12,5,1097,25,2,0.0745,4,2011,3
2014-03-07,SUN PHARMA GLOBAL INC,PRESCRIPTION SUPPLY INC,VILLAGE PHARMACY #2822 (WV),WV,95,16,17,1687,48,4,0.0381,3,2014,4
2013-02-01,CADISTA PHARMACEUTICALS INC,HD SMITH WHOLESALE DRUG CO,MAIN STREET PHARMACY #2472 (ND),ND,453,3,8,958,27,3,0.0137,2,2013,4
2010-04-03,RHODES TECHNOLOGIES,NATIONAL WHOLESALE DRUG CO INC,PUBLIX PHARMACY #7202 (CT),CT,416,14,15,1345,6,2,0.01,4,2010,5
2011-12-16,TEVA PHARMACEUTICALS USA INC,KINRAY LLC,KROGER PHARMACY #5686 (VA),VA,586,17,11,882,44,4,0.0149,12,2011,4
2014-03-20,IMPAX LABORATORIES INC,ANDA INC,VILLAGE PHARMACY #1377 (VA),VA,207,6,1,1666,44,5,0.0098,3,2014,3
2012-11-28,MALLINCKRODT LLC,BURLINGTON DRUG COMPANY INC,HARRIS TEETER PHARMACY #3473 (WV),WV,791,9,3,542,48,12,0.0249,11,2012,2
2009-06-25,RHODES TECHNOLOGIES,MIAMI-LUKEN INC,KROGER PHARMACY #6683 (OH),OH,446,14,13,894,34,3,0.0112,6,2009,3
2012-05-28,HIKMA PHARMACEUTICALS,GULF COAST MEDICAL SUPPLY,WINN-DIXIE PHARMACY #8378 (VA),VA,19,5,7,2072,44,6,0.037,5,2012,0
2013-12-10,LANNETT COMPANY INC,HENRY SCHEIN INC,SUNRISE PHARMACY #4395 (WA),WA,348,8,9,1599,46,1,0.0886,12,2013,1
2012-02-05,HIKMA PHARMACEUTICALS,HD SMITH WHOLESALE DRUG CO,HARRIS TEETER PHARMACY #5365 (FL),FL,190,5,8,567,8,1,0.0324,2,2012,6
2010-08-05,ABBOTT LABORATORIES,BURLINGTON DRUG COMPANY INC,HOMETOWN PHARMACY #6271 (AR),AR,1500,0,3,789,2,1,0.1534,8,2010,3
2014-06-03,ABBOTT LABORATORIES,BELLCO DRUG CORP,CVS PHARMACY #6466 (KY),KY,229,0,2,264,16,5,0.0048,6,2014,1
2011-02-14,PURDUE PHARMA LP,NATIONAL WHOLESALE DRUG CO INC,SUNRISE PHARMACY #5581 (TN),TN,165,12,15,1608,41,3,0.003,2,2011,0
2013-12-10,QUALITEST PHARMACEUTICALS,NATIONAL WHOLESALE DRUG CO INC,COMMUNITY PHARMACY #9741 (SC),SC,64,13,15,94,39,3,0.437,12,2013,1
2008-10-23,ACTAVIS PHARMA INC,DIRECT RX,SUNRISE PHARMACY #7390 (IN),IN,115,1,6,1629,14,4,0.0851,10,2008,3
2011-01-13,HIKMA PHARMACEUTICALS,HENRY SCHEIN INC,GOOD NEIGHBOR PHARMACY #3848 (DE),DE,295,5,9,435,7,1,0.1975,1,2011,3
2008-11-29,SUN PHARMA GLOBAL INC,DAKOTA DRUG INC,GOOD NEIGHBOR PHARMACY #3396 (IN),IN,310,16,5,431,14,2,0.0361,11,2008,5
2013-04-20,PURDUE PHARMA LP,BELLCO DRUG CORP,SUNRISE PHARMACY #8246 (MA),MA,267,12,2,1635,18,1,0.0408,4,2013,5
2011-05-12,TEVA PHARMACEUTICALS USA INC,DAKOTA DRUG INC,CVS PHARMACY #3187 (KY),KY,97,17,5,228,16,6,0.0077,5,2011,3
2012-01-05,PAR PHARMACEUTICAL INC,DIRECT RX,MEDICO PHARMACY #9378 (TN),TN,739,11,6,1149,41,3,0.2335,1,2012,3
2013-06-28,CADISTA PHARMACEUTICALS INC,PRESCRIPTION SUPPLY INC,VILLAGE PHARMACY #9964 (OH),OH,192,3,17,1770,34,4,0.0958,6,2013,4
2014-08-26,MALLINCKRODT LLC,DAKOTA DRUG INC,CORNER DRUG STORE #8519 (AK),AK,243,9,5,179,0,1,0.0711,8,2014,1
2011-08-27,MYLAN PHARMACEUTICALS INC,CARDINAL HEALTH INC,GOOD NEIGHBOR PHARMACY #1784 (PA),PA,434,10,4,411,37,2,0.0854,8,2011,5
2012-11-24,MYLAN PHARMACEUTICALS INC,GULF COAST MEDICAL SUPPLY,WALGREENS #7611 (WA),WA,1328,10,7,1855,46,1,0.2394,11,2012,5
2012-01-06,CADISTA PHARMACEUTICALS INC,PRESCRIPTION SUPPLY INC,CVS PHARMACY #9326 (KY),KY,459,3,17,302,16,3,0.0152,1,2012,4
2011-02-21,SANDOZ INC,VALUEDRUGCO,HARRIS TEETER PHARMACY #3473 (WV),WV,669,15,19,542,48,6,0.0275,2,2011,0
2011-04-28,MALLINCKRODT LLC,HENRY SCHEIN INC,HOMETOWN PHARMACY #3746 (TN),TN,415,9,9,757,41,6,0.0649,4,2011,3
2011-08-17,CADISTA PHARMACEUTICALS INC,ANDA INC,WALMART PHARMACY #8931 (VA),VA,34,3,1,1969,44,8,0.5349,8,2011,2
2010-01-22,LANNETT COMPANY INC,HD SMITH WHOLESALE DRUG CO,PEOPLES PHARMACY #3759 (TN),TN,3760,8,8,1206,41,3,0.0642,1,2010,4
2014-01-30,SANDOZ INC,BELLCO DRUG CORP,VILLAGE PHARMACY #7334 (PA),PA,1379,15,2,1739,37,5,0.2344,1,2014,3
2008-12-15,PURDUE PHARMA LP,VALUEDRUGCO,FAMILY CARE PHARMACY #3203 (KY),KY,84,12,19,336,16,6,0.0182,12,2008,0
2011-03-04,AMNEAL PHARMACEUTICALS LLC,DAKOTA DRUG INC,CORNER DRUG STORE #6200 (PA),PA,357,2,5,151,37,2,0.018,3,2011,4
2010-01-12,SUN PHARMA GLOBAL INC,KEYSOURCE MEDICAL INC,QUALITY CARE PHARMACY #6273 (HI),HI,330,16,10,1421,10,1,0.0447,1,2010,1
2009-11-05,QUALITEST PHARMACEUTICALS,DAKOTA DRUG INC,WINN-DIXIE PHARMACY #4497 (AZ),AZ,183,13,5,2022,3,2,0.0463,11,2009,3
2013-11-06,TEVA PHARMACEUTICALS USA INC,BELLCO DRUG CORP,CORNER DRUG STORE #9561 (PA),PA,779,17,2,189,37,2,0.0511,11,2013,2
2010-09-07,SUN PHARMA GLOBAL INC,SMITH DRUG COMPANY,PEOPLES PHARMACY #2912 (WV),WV,165,16,18,1193,48,15,0.0008,9,2010,1
2010-07-19,TEVA PHARMACEUTICALS USA INC,NATIONAL WHOLESALE DRUG CO INC,COMMUNITY PHARMACY #7046 (MA),MA,686,17,15,66,18,1,0.0879,7,2010,0
2008-07-25,MALLINCKRODT LLC,DIRECT RX,HARRIS TEETER PHARMACY #9689 (OK),OK,95,9,6,621,35,2,0.0246,7,2008,4
2012-12-23,RHODES TECHNOLOGIES,AMERISOURCEBERGEN DRUG CORP,WINN-DIXIE PHARMACY #3668 (MS),MS,873,14,0,2015,24,2,0.1352,12,2012,6
2008-03-26,CADISTA PHARMACEUTICALS INC,PENN PHARMACEUTICAL SERVICES INC,VILLAGE PHARMACY #2028 (TN),TN,1544,3,16,1678,41,3,0.0169,3,2008,2
2007-03-04,RHODES TECHNOLOGIES,SMITH DRUG COMPANY,CVS PHARMACY #9746 (TN),TN,1025,14,18,309,41,5,0.0557,3,2007,6
2013-06-17,ABBOTT LABORATORIES,MORRIS & DICKSON CO LLC,HOMETOWN PHARMACY #6387 (NC),NC,652,0,14,792,26,10,0.0338,6,2013,0
2011-12-14,PURDUE PHARMA LP,MCKESSON CORPORATION,CVS PHARMACY #4698 (OH),OH,233,12,12,243,34,3,0.0788,12,2011,2
2009-08-27,LANNETT COMPANY INC,DIRECT RX,MAIN STREET PHARMACY #7935 (KY),KY,154,8,6,1028,16,6,0.0935,8,2009,3
2011-11-30,WATSON LABORATORIES INC,MIAMI-LUKEN INC,HOMETOWN PHARMACY #6513 (WV),WV,374,19,13,793,48,8,0.0252,11,2011,2
2014-02-25,ACTAVIS PHARMA INC,NATIONAL WHOLESALE DRUG CO INC,PUBLIX PHARMACY #9432 (NV),NV,210,1,15,1357,32,2,0.2923,2,2014,1
2009-02-04,LANNETT COMPANY INC,ANDA INC,COMMUNITY PHARMACY #8220 (VA),VA,236,8,1,79,44,5,0.0671,2,2009,2
2011-05-04,PAR PHARMACEUTICAL INC,KINRAY LLC,RITE AID #3495 (IL),IL,1190,11,11,1505,13,3,0.1703,5,2011,2
2012-07-27,MALLINCKRODT LLC,BELLCO DRUG CORP,MEDICO PHARMACY #7458 (TX),TX,73,9,2,1124,42,1,0.0447,7,2012,4
2009-12-15,TEVA PHARMACEUTICALS USA INC,BURLINGTON DRUG COMPANY INC,WINN-DIXIE PHARMACY #3112 (LA),LA,98,17,3,2007,17,2,0.0375,12,2009,1
2011-03-19,CADISTA PHARMACEUTICALS INC,PENN PHARMACEUTICAL SERVICES INC,VILLAGE PHARMACY #2073 (WI),WI,234,3,16,1679,47,3,0.0145,3,2011,5
2010-07-21,QUALITEST PHARMACEUTICALS,GULF COAST MEDICAL SUPPLY,SUNRISE PHARMACY #4273 (OR),OR,1575,13,7,1594,36,1,0.4911,7,2010,2
2010-10-06,ENDO PHARMACEUTICALS INC,VALUEDRUGCO,WALMART PHARMACY #5238 (AR),AR,187,4,19,1927,2,2,0.0648,10,2010,2
