TRANSACTION_DATE,Revised_Company_Name,REPORTER_NAME,BUYER_NAME,BUYER_STATE,QUANTITY,REPORTER_DEA_NO,BUYER_DEA_NO,DRUG_NAME,TRANSACTION_CODE,UNIT,ACTION_INDICATOR,ORDER_FORM_NO,CORRECTION_NO,STRENGTH,TRANSACTION_ID
09/13/2011,TEVA PHARMACEUTICALS USA INC,AMERISOURCEBERGEN DRUG CORP,HOMETOWN PHARMACY #9385 (MI),MI,578,R806481,B358772,OXYMORPHONE,S,GM,S,OF7546504,0,20,12985
11/06/2013,LANNETT COMPANY INC,PRESCRIPTION SUPPLY INC,WALMART PHARMACY #6376 (OH),OH,260,R626153,B528921,FENTANYL,T,GM,S,OF4507865,0,5,7023
03/10/2009,CADISTA PHARMACEUTICALS INC,KEYSOURCE MEDICAL INC,VILLAGE PHARMACY #4543 (IL),IL,132,R638210,B106791,MORPHINE,X,GM,S,OF8761307,0,20,48150
10/12/2008,SUN PHARMA GLOBAL INC,MIAMI-LUKEN INC,KROGER PHARMACY #6848 (HI),HI,436,R961535,B117895,CODEINE,X,MCG,T,OF6345270,0,80,38001
01/23/2011,ENDO PHARMACEUTICALS INC,PRESCRIPTION SUPPLY INC,QUALITY CARE PHARMACY #3905 (TN),TN,308,R157697,B305468,HYDROCODONE,T,ML,T,OF2128071,0,20,21093
10/01/2011,AMNEAL PHARMACEUTICALS LLC,NATIONAL WHOLESALE DRUG CO INC,WALMART PHARMACY #3043 (PA),PA,118,R513632,B769507,OXYCODONE,S,MCG,S,OF8040477,0,80,12298
08/02/2011,SANDOZ INC,DAKOTA DRUG INC,FAMILY CARE PHARMACY #5952 (MI),MI,258,R116557,B635662,CODEINE,T,ML,T,OF9000783,0,40,1831
04/08/2012,LANNETT COMPANY INC,VALUEDRUGCO,WALMART PHARMACY #3043 (PA),PA,445,R783537,B486910,MORPHINE,S,ML,S,OF2659439,0,10,859
12/24/2011,ENDO PHARMACEUTICALS INC,AMERISOURCEBERGEN DRUG CORP,FAMILY CARE PHARMACY #1129 (MS),MS,342,R230507,B692904,METHADONE,S,GM,T,OF8581533,0,40,17131
09/04/2006,PURDUE PHARMA LP,PRESCRIPTION SUPPLY INC,WALGREENS #1373 (PA),PA,144,R317041,B875030,HYDROCODONE,T,ML,S,OF9221258,0,15,5988
