date,manufacturer,distributor,retailer,retailer_state,quantity,disruption_injected
2026-03-26,WATSON LABORATORIES INC,KEYSOURCE MEDICAL INC,KROGER PHARMACY #8420 (MT),MT,1018,0
2026-03-26,MALLINCKRODT LLC,PRESCRIPTION SUPPLY INC,MAIN STREET PHARMACY #7953 (AZ),AZ,1241,0
2026-03-26,ENDO PHARMACEUTICALS INC,BURLINGTON DRUG COMPANY INC,CVS PHARMACY #5216 (AK),AK,761,0
2026-03-26,AMNEAL PHARMACEUTICALS LLC,DAKOTA DRUG INC,PEOPLES PHARMACY #4578 (MS),MS,74,0
2026-03-26,PAR PHARMACEUTICAL INC,VALUEDRUGCO,CVS PHARMACY #6085 (IN),IN,39,0
2026-03-26,SUN PHARMA GLOBAL INC,SMITH DRUG COMPANY,WALMART PHARMACY #7726 (SD),SD,422,0
2026-03-26,VINTAGE PHARMACEUTICALS LLC,AMERISOURCEBERGEN DRUG CORP,WALGREENS #8038 (IN),IN,3593,0
2026-03-26,HIKMA PHARMACEUTICALS,DAKOTA DRUG INC,CVS PHARMACY #3011 (GA),GA,2298,0
2026-03-26,MYLAN PHARMACEUTICALS INC,BELLCO DRUG CORP,FAMILY CARE PHARMACY #5952 (MI),MI,43,0
2026-03-26,ACTAVIS PHARMA INC,KINRAY LLC,HOMETOWN PHARMACY #7685 (TN),TN,329,0
2026-03-26,WATSON LABORATORIES INC,BELLCO DRUG CORP,PUBLIX PHARMACY #9368 (GA),GA,19,0
2026-03-26,ENDO PHARMACEUTICALS INC,MIAMI-LUKEN INC,HARRIS TEETER PHARMACY #2941 (NH),NH,717,0
2026-03-26,ENDO PHARMACEUTICALS INC,BELLCO DRUG CORP,CORNER DRUG STORE #8976 (MS),MS,39,0
2026-03-26,PAR PHARMACEUTICAL INC,HENRY SCHEIN INC,COMMUNITY PHARMACY #7046 (MI),MI,499,0
2026-03-26,SUN PHARMA GLOBAL INC,SMITH DRUG COMPANY,PUBLIX PHARMACY #2360 (UT),UT,355,0
2026-03-26,SUN PHARMA GLOBAL INC,MIAMI-LUKEN INC,HARRIS TEETER PHARMACY #3549 (MO),MO,295,0
2026-03-26,QUALITEST PHARMACEUTICALS,GULF COAST MEDICAL SUPPLY,GOOD NEIGHBOR PHARMACY #6434 (CT),CT,255,0
2026-03-26,SANDOZ INC,DIRECT RX,WALMART PHARMACY #5079 (LA),LA,236,0
2026-03-26,CADISTA PHARMACEUTICALS INC,AMERISOURCEBERGEN DRUG CORP,PUBLIX PHARMACY #6713 (MA),MA,905,0
2026-03-26,ABBOTT LABORATORIES,PENN PHARMACEUTICAL SERVICES INC,QUALITY CARE PHARMACY #6283 (MS),MS,21,0
2026-03-26,JANSSEN PHARMACEUTICALS INC,DAKOTA DRUG INC,MEDICO PHARMACY #1621 (MI),MI,0,1
2026-03-26,TEVA PHARMACEUTICALS USA INC,GULF COAST MEDICAL SUPPLY,RITE AID #3210 (VA),VA,278,0
2026-03-26,SANDOZ INC,BURLINGTON DRUG COMPANY INC,COMMUNITY PHARMACY #4723 (MS),MS,37,0
2026-03-26,HIKMA PHARMACEUTICALS,KEYSOURCE MEDICAL INC,COMMUNITY PHARMACY #2313 (LA),LA,223,0
2026-03-26,PAR PHARMACEUTICAL INC,MORRIS & DICKSON CO LLC,MAIN STREET PHARMACY #4930 (VA),VA,275,0
2026-03-26,HIKMA PHARMACEUTICALS,VALUEDRUGCO,MAIN STREET PHARMACY #2672 (WY),WY,215,0
2026-03-26,RHODES TECHNOLOGIES,HD SMITH WHOLESALE DRUG CO,MAIN STREET PHARMACY #4193 (KS),KS,1071,0
2026-03-26,VINTAGE PHARMACEUTICALS LLC,AMERISOURCEBERGEN DRUG CORP,MEDICO PHARMACY #9075 (MT),MT,541,0
2026-03-26,SUN PHARMA GLOBAL INC,MIAMI-LUKEN INC,RITE AID #3418 (WV),WV,247,0
2026-03-26,PAR PHARMACEUTICAL INC,HD SMITH WHOLESALE DRUG CO,HEALTH MART PHARMACY #1381 (MS),MS,752,0
2026-03-26,CADISTA PHARMACEUTICALS INC,NATIONAL WHOLESALE DRUG CO INC,PUBLIX PHARMACY #2532 (AZ),AZ,147,0
2026-03-26,SANDOZ INC,HENRY SCHEIN INC,SUNRISE PHARMACY #5334 (AL),AL,414,0
2026-03-26,QUALITEST PHARMACEUTICALS,BELLCO DRUG CORP,RITE AID #6336 (NE),NE,2585,0
2026-03-26,ABBOTT LABORATORIES,BELLCO DRUG CORP,CORNER DRUG STORE #4372 (CT),CT,192,0
