timestamp,row_index,manufacturer,distributor,retailer,retailer_state,quantity,z_score,is_anomaly,disruption_injected,routing_method,alternate_route,routing_note
2026-04-21T12:12:34.352808,1,SANDOZ INC,AMERISOURCEBERGEN DRUG CORP,CORNER DRUG STORE #3522 (WI),WI,257.0,0.0,0,0,none,,Normal flow
2026-04-21T12:12:34.353047,2,PAR PHARMACEUTICAL INC,SMITH DRUG COMPANY,PEOPLES PHARMACY #7655 (TX),TX,788.0,0.0,0,0,none,,Normal flow
2026-04-21T12:12:34.353107,3,HIKMA PHARMACEUTICALS,BURLINGTON DRUG COMPANY INC,VILLAGE PHARMACY #9112 (RI),RI,151.0,0.0,0,0,none,,Normal flow
2026-04-21T12:12:34.353153,4,ABBOTT LABORATORIES,BELLCO DRUG CORP,WALGREENS #2338 (MS),MS,1023.0,0.0,0,0,none,,Normal flow
2026-04-21T12:12:34.353268,5,LANNETT COMPANY INC,PRESCRIPTION SUPPLY INC,HOMETOWN PHARMACY #7685 (TN),TN,440.0,0.28,0,0,none,,Normal flow
2026-04-21T12:12:34.353337,6,MALLINCKRODT LLC,DAKOTA DRUG INC,WINN-DIXIE PHARMACY #6720 (AR),AR,235.0,0.776,0,0,none,,Normal flow
2026-04-21T12:12:34.353403,7,WATSON LABORATORIES INC,MCKESSON CORPORATION,WALGREENS #1285 (WI),WI,1198.0,1.585,0,0,none,,Normal flow
2026-04-21T12:12:34.353476,8,SANDOZ INC,BURLINGTON DRUG COMPANY INC,CORNER DRUG STORE #7916 (MO),MO,1709.0,1.896,0,0,none,,Normal flow
2026-04-21T12:12:34.353545,9,MYLAN PHARMACEUTICALS INC,MCKESSON CORPORATION,COMMUNITY PHARMACY #7344 (LA),LA,58.0,1.114,0,0,none,,Normal flow
2026-04-21T12:12:34.353614,10,QUALITEST PHARMACEUTICALS,KINRAY LLC,PEOPLES PHARMACY #1405 (NE),NE,336.0,0.552,0,0,none,,Normal flow
2026-04-21T12:12:34.373313,11,LANNETT COMPANY INC,BURLINGTON DRUG COMPANY INC,QUALITY CARE PHARMACY #7561 (KY),KY,3969.0,2.819,1,0,ImmuneEngine,LANNETT COMPANY INC → AMERISOURCEBERGEN DRUG CORP → QUALITY CARE PHARMACY #7561 (KY),Activate alternate route via [AMERISOURCEBERGEN DRUG CORP]
2026-04-21T12:12:34.373464,12,WATSON LABORATORIES INC,ANDA INC,CORNER DRUG STORE #2273 (LA),LA,602.0,0.284,0,0,none,,Normal flow
2026-04-21T12:12:34.373541,13,QUALITEST PHARMACEUTICALS,BURLINGTON DRUG COMPANY INC,KROGER PHARMACY #7125 (AK),AK,45.0,0.769,0,0,none,,Normal flow
2026-04-21T12:12:34.373632,14,PURDUE PHARMA LP,MORRIS & DICKSON CO LLC,RITE AID #2172 (AR),AR,993.0,0.152,0,0,none,,Normal flow
2026-04-21T12:12:34.373922,15,QUALITEST PHARMACEUTICALS,KINRAY LLC,SUNRISE PHARMACY #6637 (LA),LA,168.0,0.651,0,0,none,,Normal flow
2026-04-21T12:12:34.388585,16,JANSSEN PHARMACEUTICALS INC,DAKOTA DRUG INC,PEOPLES PHARMACY #3960 (WY),WY,0.0,99.0,1,1,ImmuneEngine,JANSSEN PHARMACEUTICALS INC → MIAMI-LUKEN INC → PEOPLES PHARMACY #3960 (WY),Activate alternate route via [MIAMI-LUKEN INC]
2026-04-21T12:12:34.388716,17,PURDUE PHARMA LP,HENRY SCHEIN INC,HOMETOWN PHARMACY #9385 (MI),MI,163.0,0.627,0,0,none,,Normal flow
2026-04-21T12:12:34.388794,18,WATSON LABORATORIES INC,KINRAY LLC,MEDICO PHARMACY #9833 (TN),TN,241.0,0.524,0,0,none,,Normal flow
2026-04-21T12:12:34.388861,19,LANNETT COMPANY INC,HENRY SCHEIN INC,MEDICO PHARMACY #9307 (VA),VA,309.0,0.436,0,0,none,,Normal flow
2026-04-21T12:12:34.388937,20,PAR PHARMACEUTICAL INC,MORRIS & DICKSON CO LLC,VILLAGE PHARMACY #8147 (ME),ME,214.0,0.522,0,0,none,,Normal flow
2026-04-21T12:12:34.389007,21,JANSSEN PHARMACEUTICALS INC,MCKESSON CORPORATION,WALGREENS #6125 (VA),VA,38.0,0.692,0,0,none,,Normal flow
2026-04-21T12:12:34.389074,22,PAR PHARMACEUTICAL INC,DAKOTA DRUG INC,HEALTH MART PHARMACY #7699 (NY),NY,253.0,0.435,0,0,none,,Normal flow
2026-04-21T12:12:34.389136,23,MYLAN PHARMACEUTICALS INC,GULF COAST MEDICAL SUPPLY,VILLAGE PHARMACY #3997 (AL),AL,590.0,0.043,0,0,none,,Normal flow
