date,manufacturer,distributor,retailer,retailer_state,quantity,z_quantity,flag_volume,flag_frequency,flag_surge,flag_concentration,flag_iforest,iforest_score,anomaly_score
2013-03-31,IMPAX LABORATORIES INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,87858,3.8164325052706536,True,True,True,True,True,0.8004374424783214,5
2012-08-09,ACTAVIS PHARMA INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,105620,4.621280352641577,True,True,True,True,True,0.794502340505845,5
2010-11-23,CADISTA PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,107209,4.693282561259547,True,True,True,True,True,0.7864798773665049,5
2011-10-09,VINTAGE PHARMACEUTICALS LLC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,112015,4.91105639047161,True,True,True,True,True,0.789144990382841,5
2011-10-14,VINTAGE PHARMACEUTICALS LLC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,101118,4.417281647041762,True,True,True,True,True,0.789144990382841,5
2009-10-25,HIKMA PHARMACEUTICALS,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,100458,4.387375128673065,True,True,True,True,True,0.778538420803912,5
2010-09-18,AMNEAL PHARMACEUTICALS LLC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,93885,4.089533393464807,True,True,True,True,True,0.7902135626033302,5
2012-09-14,PURDUE PHARMA LP,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,205931,9.16666332852406,True,True,True,True,True,0.816850401321059,5
2012-05-22,IMPAX LABORATORIES INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,118023,5.183296333439998,True,True,True,True,True,0.7928913278100274,5
2010-11-20,QUALITEST PHARMACEUTICALS,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,113363,4.972138188594344,True,True,True,True,True,0.7896790957477572,5
2012-07-06,PURDUE PHARMA LP,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,275677,12.327057313589503,True,True,True,True,True,0.818510094548814,5
2010-07-06,JANSSEN PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,112976,4.954602093732698,True,True,True,True,True,0.7838237650122478,5
2012-12-06,VINTAGE PHARMACEUTICALS LLC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,85871,3.726395759818226,True,True,True,True,True,0.7675549168411309,5
2012-12-05,VINTAGE PHARMACEUTICALS LLC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,88595,3.8498281174490327,True,True,True,True,True,0.7691144505028038,5
2013-03-25,IMPAX LABORATORIES INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,108826,4.766553531262857,True,True,True,True,True,0.8042373889842519,5
2012-10-07,ACTAVIS PHARMA INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,118907,5.223352942891405,True,True,True,True,True,0.797194638923297,5
2013-04-07,CADISTA PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,112185,4.918759584596881,True,True,True,True,True,0.7875448407878906,5
2011-09-22,ENDO PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,88510,3.8459765203863974,True,True,False,True,True,0.7732887158102155,4
2010-12-18,PURDUE PHARMA LP,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,103825,4.5399436852600425,True,True,False,True,True,0.782763833443506,4
2012-09-12,PURDUE PHARMA LP,BELLCO DRUG CORP,RITE AID #2678 (ND),ND,287483,12.862021489136238,True,False,True,True,True,0.7817053351751826,4
2012-06-30,PURDUE PHARMA LP,HD SMITH WHOLESALE DRUG CO,HOMETOWN PHARMACY #7046 (DE),DE,121745,5.351950971876805,True,False,True,True,True,0.7567263665146465,4
2012-07-20,PURDUE PHARMA LP,SMITH DRUG COMPANY,WALMART PHARMACY #9172 (WY),WY,317477,14.221136810273691,True,False,True,True,True,0.7806482682690864,4
2012-06-02,PURDUE PHARMA LP,DAKOTA DRUG INC,PEOPLES PHARMACY #2584 (AL),AL,450702,20.257948794621807,True,False,True,True,True,0.7875448407878906,4
2012-09-14,TEVA PHARMACEUTICALS USA INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,96115,4.19058117522571,True,True,False,True,True,0.7843542688906779,4
2012-06-03,PURDUE PHARMA LP,BURLINGTON DRUG COMPANY INC,WALMART PHARMACY #9369 (NY),NY,255986,11.434800869350067,True,False,True,True,True,0.778538420803912,4
2012-08-05,PURDUE PHARMA LP,PRESCRIPTION SUPPLY INC,CORNER DRUG STORE #4977 (NJ),NJ,317562,14.224988407336328,True,False,True,True,True,0.7801202709719055,4
2010-09-27,CADISTA PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,92972,4.048162709721442,True,True,False,True,True,0.7759091284631018,4
2008-06-29,MYLAN PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,114588,5.027646499202912,True,True,False,True,True,0.7880778631471567,4
2012-09-01,PURDUE PHARMA LP,SMITH DRUG COMPANY,CVS PHARMACY #9719 (NV),NV,292484,13.088631335139052,True,False,True,True,True,0.7801202709719055,4
2013-04-04,TEVA PHARMACEUTICALS USA INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,90662,3.943489895431,True,True,False,True,True,0.7806482682690864,4
2014-09-17,JANSSEN PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,89771,3.903116095633258,True,True,False,True,True,0.7706771528566296,4
2012-08-06,PURDUE PHARMA LP,MCKESSON CORPORATION,WINN-DIXIE PHARMACY #8772 (WA),WA,311894,13.96815485261848,True,False,True,True,True,0.774859899521032,4
2007-11-08,JANSSEN PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,115013,5.046904484516088,True,True,False,True,True,0.7738120894066733,4
2012-07-12,PURDUE PHARMA LP,ANDA INC,PEOPLES PHARMACY #1578 (VT),VT,232599,10.375067922245924,True,False,True,True,True,0.7769597781541013,4
2008-12-17,TEVA PHARMACEUTICALS USA INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,84104,3.6463278538220307,True,True,False,True,True,0.7764342755948077,4
2011-03-19,ENDO PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,108615,4.756992507966197,True,True,False,True,True,0.7843542688906779,4
2011-09-12,QUALITEST PHARMACEUTICALS,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,95095,4.144362010474087,True,True,False,True,True,0.7886112462640847,4
2011-03-20,MALLINCKRODT LLC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,85174,3.6948126639046164,True,True,False,True,True,0.779065347480774,4
2012-07-04,PURDUE PHARMA LP,DAKOTA DRUG INC,WALGREENS #6464 (IL),IL,417233,18.741371122982496,True,False,True,True,True,0.7848851318222239,4
2010-06-24,IMPAX LABORATORIES INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,116835,5.129464600376342,True,True,False,True,True,0.789144990382841,4
2012-08-27,PURDUE PHARMA LP,HENRY SCHEIN INC,VILLAGE PHARMACY #4948 (NE),NE,222902,9.935668666759163,True,False,True,True,True,0.7660754307274867,4
2012-07-20,PURDUE PHARMA LP,NATIONAL WHOLESALE DRUG CO INC,RITE AID #2479 (KY),KY,426796,19.17469844898228,True,False,True,True,True,0.7848851318222239,4
2009-10-17,PURDUE PHARMA LP,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,111533,4.889215569481137,True,True,False,True,True,0.7822344052679904,4
2009-08-19,MALLINCKRODT LLC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,107572,4.709731146362331,True,True,False,True,True,0.789144990382841,4
2012-06-29,PURDUE PHARMA LP,CARDINAL HEALTH INC,RITE AID #2838 (MO),MO,192570,8.561237583184406,True,False,True,True,True,0.7759091284631018,4
2010-07-11,AMNEAL PHARMACEUTICALS LLC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,95370,4.156823059794377,True,True,False,True,True,0.7817053351751826,4
2012-06-17,PURDUE PHARMA LP,KINRAY LLC,QUALITY CARE PHARMACY #5930 (CO),CO,447735,20.123505400682525,True,False,True,True,True,0.789144990382841,4
2012-09-04,PURDUE PHARMA LP,ANDA INC,HOMETOWN PHARMACY #7895 (OH),OH,322919,14.46772964809559,True,False,True,True,True,0.7738120894066733,4
2010-06-30,MALLINCKRODT LLC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,108447,4.749379939654165,True,True,False,True,True,0.7918191345614413,4
2012-11-25,ENDO PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,109319,4.7888927942261414,True,True,False,True,True,0.7854163540498982,4
2009-02-19,MYLAN PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,99801,4.357604549024225,True,True,False,True,True,0.7854163540498982,4
2012-06-21,PURDUE PHARMA LP,ANDA INC,WINN-DIXIE PHARMACY #9743 (RI),RI,182971,8.126278992546332,True,False,True,True,True,0.7691144505028038,4
2008-01-28,PURDUE PHARMA LP,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,117691,5.16825244844241,True,True,False,True,True,0.7859479358168779,4
2010-05-19,AMNEAL PHARMACEUTICALS LLC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,84284,3.6544841770134937,True,True,False,True,True,0.7764342755948077,4
2010-11-22,QUALITEST PHARMACEUTICALS,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,81159,3.5128813438283717,False,True,True,True,True,0.7822344052679904,4
2011-10-06,LANNETT COMPANY INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,95838,4.1780295000921805,True,True,False,True,True,0.7902135626033302,4
2012-09-25,PURDUE PHARMA LP,MIAMI-LUKEN INC,KROGER PHARMACY #6736 (IA),IA,109514,4.797728811016893,True,False,True,True,True,0.7511153744343408,4
2012-06-02,PURDUE PHARMA LP,PRESCRIPTION SUPPLY INC,CORNER DRUG STORE #9369 (NC),NC,425911,19.134596526624254,True,False,True,True,True,0.7896790957477572,4
2010-09-30,LANNETT COMPANY INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,100612,4.3943533162924275,True,True,False,True,True,0.7859479358168779,4
2013-03-25,HIKMA PHARMACEUTICALS,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,112021,4.911328267911325,True,True,False,True,True,0.7696349988928389,4
2012-09-14,QUALITEST PHARMACEUTICALS,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,119190,5.236176495464649,True,True,False,True,True,0.7875448407878906,4
2012-08-26,PURDUE PHARMA LP,MORRIS & DICKSON CO LLC,HOMETOWN PHARMACY #7566 (NM),NM,166889,7.3975568282957305,True,False,True,True,True,0.7644453299066387,4
2012-07-07,ENDO PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,90240,3.924367848837681,True,True,False,True,True,0.7822344052679904,4
2008-09-30,IMPAX LABORATORIES INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,108027,4.730348518874085,True,True,False,True,True,0.7822344052679904,4
2012-03-17,VINTAGE PHARMACEUTICALS LLC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,105886,4.633333585802294,True,True,False,True,True,0.7587771030789037,4
2009-09-04,ENDO PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,92617,4.0320766278716125,True,True,False,True,True,0.7722430303408213,4
2012-05-25,CADISTA PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,104451,4.568309564803687,True,True,False,True,True,0.778538420803912,4
2012-07-01,PURDUE PHARMA LP,PRESCRIPTION SUPPLY INC,WALGREENS #1158 (WV),WV,389679,17.492819293995986,True,False,True,True,True,0.7859479358168779,4
2012-09-12,PURDUE PHARMA LP,HD SMITH WHOLESALE DRUG CO,WINN-DIXIE PHARMACY #6807 (NH),NH,274839,12.28908509784258,True,False,True,True,True,0.7743358172303634,4
2011-07-14,MYLAN PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,116948,5.134584958824316,True,True,False,True,True,0.7886112462640847,4
2012-07-20,PURDUE PHARMA LP,GULF COAST MEDICAL SUPPLY,QUALITY CARE PHARMACY #3532 (AR),AR,398044,17.87186175786592,True,False,True,True,True,0.7859479358168779,4
2011-08-08,AMNEAL PHARMACEUTICALS LLC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,118561,5.207674677201148,True,True,False,True,True,0.7912835817652614,4
2012-07-25,PURDUE PHARMA LP,PENN PHARMACEUTICAL SERVICES INC,WALGREENS #1104 (NV),NV,343224,15.387808216999238,True,False,True,True,True,0.7780118505178505,4
2013-08-12,ACTAVIS PHARMA INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,108565,4.754726862635235,True,True,False,True,True,0.7843542688906779,4
2014-12-05,TEVA PHARMACEUTICALS USA INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,90985,3.958125964269014,True,True,False,True,True,0.7780118505178505,4
2012-02-20,PURDUE PHARMA LP,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,100205,4.375910963298398,True,True,False,True,True,0.782763833443506,4
2008-12-23,SUN PHARMA GLOBAL INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,91055,3.9612978677323607,True,True,False,True,True,0.7838237650122478,4
2010-04-22,QUALITEST PHARMACEUTICALS,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,101117,4.4172363341351435,True,True,False,True,True,0.7806482682690864,4
2012-10-04,MYLAN PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,119288,5.240617160313335,True,True,False,True,True,0.7912835817652614,4
2009-07-27,CADISTA PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,106048,4.640674276674611,True,True,False,True,True,0.778538420803912,4
2013-08-26,MALLINCKRODT LLC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,104550,4.572795542558991,True,True,False,True,True,0.7918191345614413,4
2010-03-04,HIKMA PHARMACEUTICALS,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,119112,5.232642088748349,True,True,False,True,True,0.7649627181646446,4
2011-10-21,PURDUE PHARMA LP,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,110036,4.821382148272136,True,True,False,True,True,0.782763833443506,4
2012-07-16,PURDUE PHARMA LP,PRESCRIPTION SUPPLY INC,GOOD NEIGHBOR PHARMACY #9196 (KS),KS,233807,10.429805913441964,True,False,True,True,True,0.779065347480774,4
2012-08-31,MALLINCKRODT LLC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,93259,4.061167513921164,True,True,False,True,True,0.7838237650122478,4
2013-03-22,TEVA PHARMACEUTICALS USA INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,94771,4.129680628729453,True,True,False,True,True,0.7870121789422854,4
2012-07-18,RHODES TECHNOLOGIES,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,112923,4.952200509681879,True,False,True,True,True,0.7649627181646446,4
2011-08-13,MYLAN PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,106297,4.651957190422801,True,True,False,True,True,0.7907483911942221,4
2012-06-05,PURDUE PHARMA LP,MIAMI-LUKEN INC,GOOD NEIGHBOR PHARMACY #8749 (AK),AK,158347,7.010493979954191,True,False,True,True,True,0.7691144505028038,4
2011-04-28,MALLINCKRODT LLC,GULF COAST MEDICAL SUPPLY,FAMILY CARE PHARMACY #1916 (AL),AL,241485,10.777718410464482,True,False,True,True,True,0.7562904522103777,4
2008-12-14,MALLINCKRODT LLC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,92880,4.043993922312472,True,True,False,True,True,0.7817053351751826,4
2014-05-17,MALLINCKRODT LLC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,84253,3.6530794769082973,True,True,False,True,True,0.774859899521032,4
2007-08-12,TEVA PHARMACEUTICALS USA INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,84636,3.6704343201434657,True,True,False,True,True,0.7753843365185877,4
2012-08-12,PURDUE PHARMA LP,PENN PHARMACEUTICAL SERVICES INC,CORNER DRUG STORE #1166 (DE),DE,393103,17.64797068626026,True,False,True,True,True,0.7817053351751826,4
2013-03-19,CADISTA PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,118260,5.194035492308758,True,True,False,True,True,0.7848851318222239,4
2010-09-20,AMNEAL PHARMACEUTICALS LLC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,54764,2.316847173613559,False,True,True,True,True,0.7769597781541013,4
2012-07-02,PURDUE PHARMA LP,SMITH DRUG COMPANY,VILLAGE PHARMACY #4595 (CT),CT,345779,15.503582693411394,True,False,True,True,True,0.7843542688906779,4
2011-02-13,TEVA PHARMACEUTICALS USA INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,85075,3.690326686149312,True,True,False,True,True,0.7832936199440851,4
2008-07-13,ACTAVIS PHARMA INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,109406,4.792835017102015,True,True,False,True,True,0.7896790957477572,4
2012-09-25,PURDUE PHARMA LP,BELLCO DRUG CORP,CORNER DRUG STORE #5668 (ND),ND,118036,5.183885401226048,True,False,True,True,True,0.757238530460505,4
2012-06-16,PURDUE PHARMA LP,DAKOTA DRUG INC,HARRIS TEETER PHARMACY #6094 (TX),TX,115631,5.074907860806778,True,False,True,True,True,0.7536606491689954,4
2012-06-02,PURDUE PHARMA LP,CARDINAL HEALTH INC,RITE AID #7267 (HI),HI,326016,14.608063719895373,True,False,True,True,True,0.7838237650122478,4
2012-06-21,PURDUE PHARMA LP,CARDINAL HEALTH INC,HOMETOWN PHARMACY #2871 (NY),NY,433409,19.474352700455306,True,False,True,True,True,0.7875448407878906,4
2013-06-05,MYLAN PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,88008,3.8232294412635395,True,True,False,True,True,0.782763833443506,4
2012-07-10,PURDUE PHARMA LP,BELLCO DRUG CORP,MEDICO PHARMACY #5743 (KS),KS,287411,12.858758959859653,True,False,True,True,True,0.779065347480774,4
2009-12-16,IMPAX LABORATORIES INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,92973,4.048208022628061,True,True,False,True,True,0.7780118505178505,4
2012-02-18,QUALITEST PHARMACEUTICALS,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,116389,5.109255044024161,True,True,False,True,True,0.7886112462640847,4
2012-06-05,PURDUE PHARMA LP,KINRAY LLC,FAMILY CARE PHARMACY #6238 (CO),CO,337305,15.119601122719963,True,False,True,True,True,0.7848851318222239,4
2009-10-22,LANNETT COMPANY INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,87032,3.7790040444031625,True,True,False,True,True,0.779065347480774,4
2013-04-07,QUALITEST PHARMACEUTICALS,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,112029,4.911690771164279,True,True,False,True,True,0.7795926307896472,4
2013-09-07,HIKMA PHARMACEUTICALS,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,97191,4.239337862748012,True,True,False,True,True,0.7717207179892026,4
2012-07-16,PURDUE PHARMA LP,DAKOTA DRUG INC,CORNER DRUG STORE #8633 (CO),CO,363652,16.313460273417054,True,False,True,True,True,0.789144990382841,4
2012-09-16,PURDUE PHARMA LP,SMITH DRUG COMPANY,QUALITY CARE PHARMACY #1878 (NY),NY,426373,19.15553108948234,True,False,True,True,True,0.7864798773665049,4
2012-06-20,PURDUE PHARMA LP,VALUEDRUGCO,PEOPLES PHARMACY #6083 (KS),KS,280233,12.533502916146755,True,False,True,True,True,0.7832936199440851,4
2011-05-17,LANNETT COMPANY INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,104244,4.558929793133504,True,True,False,True,True,0.7918191345614413,4
2011-01-31,VINTAGE PHARMACEUTICALS LLC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,112519,4.933894095407706,True,True,False,True,True,0.7623792739027688,4
2012-06-06,PURDUE PHARMA LP,HENRY SCHEIN INC,HARRIS TEETER PHARMACY #1613 (MO),MO,244232,10.902192964947531,True,False,True,True,True,0.7780118505178505,4
