entity,node_type,recon_error,gnn_score,risk_score,enhanced_risk,rank
MIAMI-LUKEN INC,distributor,0.0014523016,0.0024662213,0.9881301008047932,0.5938645490188762,1
CARDINAL HEALTH INC,distributor,0.00016878567,0.0002767906,0.8693132868203758,0.5216986883383521,2
HD SMITH WHOLESALE DRUG CO,distributor,0.00010032424,0.00016000983,0.8637630772707227,0.518321850298565,3
PENN PHARMACEUTICAL SERVICES INC,distributor,5.5257548e-05,8.313469e-05,0.8629352610781496,0.5177944105234985,4
MCKESSON CORPORATION,distributor,7.561112e-05,0.00011785405,0.8598233050752184,0.5159411246657293,5
SMITH DRUG COMPANY,distributor,2.2272265e-05,2.6867161e-05,0.8598245123055743,0.5159054542483176,6
BURLINGTON DRUG COMPANY INC,distributor,3.110681e-05,4.1937743e-05,0.8593837700940845,0.515647037153261,7
DIRECT RX,distributor,0.00026711766,0.00044452667,0.8589334285992667,0.5155378678266427,8
HENRY SCHEIN INC,distributor,1.0597359e-05,6.952945e-06,0.8576874879136336,0.5146152739263621,9
NATIONAL WHOLESALE DRUG CO INC,distributor,2.7863525e-05,3.6404777e-05,0.8565040237047876,0.5139169761343572,10
KEYSOURCE MEDICAL INC,distributor,2.5930527e-05,3.3107746e-05,0.8546252062767518,0.5127883668647434,11
MORRIS & DICKSON CO LLC,distributor,7.15345e-06,1.078018e-06,0.8519683711018375,0.5111814538683147,12
PRESCRIPTION SUPPLY INC,distributor,4.6552806e-05,6.828553e-05,0.8422227718463655,0.5053609773200943,13
BELLCO DRUG CORP,distributor,0.00017739086,0.0002914698,0.8417543870560592,0.505169220155729,14
DAKOTA DRUG INC,distributor,3.5230325e-05,4.8971946e-05,0.8412879137100547,0.5047923370047741,15
GULF COAST MEDICAL SUPPLY,distributor,7.3179835e-05,0.00011370652,0.8374420946315473,0.5025107393866032,16
KINRAY LLC,distributor,7.991876e-05,0.00012520108,0.8352202976817112,0.501182259043475,17
ANDA INC,distributor,7.178162e-05,0.00011132093,0.8338799535656471,0.5003725005124979,18
AMERISOURCEBERGEN DRUG CORP,distributor,0.00017771254,0.00029201896,0.8309005698256344,0.4986571494786345,19
VALUEDRUGCO,distributor,0.00018915863,0.00031154382,0.8200665350143799,0.49216453853202524,20
PURDUE PHARMA LP,manufacturer,0.58623946,1.0,0.0420269328921888,0.42521616569577775,21
SANDOZ INC,manufacturer,0.5545608,0.94596225,0.0420269328921888,0.4036010777097853,22
MALLINCKRODT LLC,manufacturer,0.55427927,0.9454821,0.0420269328921888,0.4034090017419966,23
