entity,type,in_volume,out_volume,in_degree,out_degree,total_transactions,betweenness_centrality,pagerank,composite_risk
MIAMI-LUKEN INC,distributor,4762842.0,4762842.0,20,1147,5260,0.00046241982090927333,0.001274165367690975,0.98151654638502
KEYSOURCE MEDICAL INC,distributor,2350811.0,2350811.0,20,1173,5036,0.0004778745465729835,0.0008375565310031456,0.8905126471289619
PENN PHARMACEUTICAL SERVICES INC,distributor,2320192.0,2320192.0,20,1171,5240,0.00047723819962080074,0.0008396265034954757,0.8903577691055073
BELLCO DRUG CORP,distributor,1925176.0,1925176.0,20,1174,5114,0.00048016898460622685,0.0007886135604953138,0.8808964970944839
AMERISOURCEBERGEN DRUG CORP,distributor,2240353.0,2240353.0,20,1138,4928,0.00046943581551676944,0.0008315175838031553,0.8802441056904493
MCKESSON CORPORATION,distributor,2408149.0,2408149.0,20,1149,5094,0.00046486627793627906,0.0008448729985340374,0.8787618388294818
HENRY SCHEIN INC,distributor,2253348.0,2253348.0,20,1146,5032,0.0004656150420297401,0.000837096375030921,0.8776339778981097
BURLINGTON DRUG COMPANY INC,distributor,2342294.0,2342294.0,20,1142,5076,0.00046149286507587555,0.0008509956321085336,0.8767509471697705
HD SMITH WHOLESALE DRUG CO,distributor,2118864.0,2118864.0,20,1155,5024,0.0004656540152711665,0.0008199550314961208,0.8734699176567642
MORRIS & DICKSON CO LLC,distributor,2219091.0,2219091.0,20,1137,4942,0.00046385520121200853,0.0008217506151100749,0.8720372595340566
DAKOTA DRUG INC,distributor,2371348.0,2371348.0,20,1131,4830,0.0004546753206300327,0.0008602136561874287,0.8719129645714914
KINRAY LLC,distributor,2353341.0,2353341.0,20,1148,4968,0.00045680502854009494,0.0008365823965049998,0.8683340542130543
ANDA INC,distributor,2299458.0,2299458.0,20,1146,4858,0.00046087959258275037,0.0008174438995431377,0.8678823594712494
CARDINAL HEALTH INC,distributor,2387970.0,2387970.0,20,1120,4994,0.00044656853027621795,0.0008674328861221737,0.8652422036964691
GULF COAST MEDICAL SUPPLY,distributor,2030854.0,2030854.0,20,1143,4858,0.00045843496127490686,0.0008135641385347146,0.8643850937326457
PRESCRIPTION SUPPLY INC,distributor,1957868.0,1957868.0,20,1150,5034,0.00045817107131913566,0.0008017891410205064,0.8612219871051412
DIRECT RX,distributor,2260001.0,2260001.0,20,1120,4918,0.000449348255098672,0.0008281876206165433,0.8585101560768504
SMITH DRUG COMPANY,distributor,2010413.0,2010413.0,20,1120,4920,0.0004516109056082824,0.0008048968805386163,0.8551532054739114
VALUEDRUGCO,distributor,2037458.0,2037458.0,20,1125,4924,0.0004484337788809161,0.0008097421997122049,0.8530333905119944
NATIONAL WHOLESALE DRUG CO INC,distributor,1908690.0,1908690.0,20,1129,4950,0.00044852920220997254,0.0007883940999345923,0.8478962258762357
COMMUNITY PHARMACY #2490 (KY),retailer,244277.0,0.0,20,0,102,0.0,0.0005359921645054623,0.31893140480719645
RITE AID #9223 (WV),retailer,224751.0,0.0,20,0,117,0.0,0.0005290546324450442,0.3172296802295019
FAMILY CARE PHARMACY #6977 (NC),retailer,213907.0,0.0,20,0,163,0.0,0.0005270199382030528,0.31673058499368373
MAIN STREET PHARMACY #8342 (MI),retailer,201351.0,0.0,20,0,85,0.0,0.0005213786985484433,0.3153468312199627
PEOPLES PHARMACY #2912 (WV),retailer,198995.0,0.0,20,0,124,0.0,0.0005209141619445539,0.31523288387540377
WALMART PHARMACY #6240 (NC),retailer,218042.0,0.0,20,0,142,0.0,0.000520291785783733,0.3150802196714453
HARRIS TEETER PHARMACY #6063 (NC),retailer,186572.0,0.0,20,0,138,0.0,0.0005176211555958773,0.31442513411810613
PEOPLES PHARMACY #6594 (KY),retailer,177319.0,0.0,20,0,104,0.0,0.0005154577210675709,0.3138944598557042
CVS PHARMACY #5523 (NC),retailer,173402.0,0.0,20,0,125,0.0,0.0005146264140736533,0.3136905464855261
MAIN STREET PHARMACY #2094 (KY),retailer,176930.0,0.0,20,0,109,0.0,0.000514455406443474,0.31364859959652935
HOMETOWN PHARMACY #8919 (KY),retailer,175857.0,0.0,20,0,115,0.0,0.0005139969244580003,0.3135361374044536
HOMETOWN PHARMACY #8469 (NC),retailer,163259.0,0.0,20,0,166,0.0,0.0005115321565807042,0.312931548331772
MAIN STREET PHARMACY #1667 (MI),retailer,165807.0,0.0,20,0,61,0.0,0.0005114624187428304,0.31291444216322795
PEOPLES PHARMACY #9504 (KY),retailer,153197.0,0.0,20,0,97,0.0,0.0005061865724880779,0.31162031664976564
QUALITY CARE PHARMACY #6847 (WV),retailer,145567.0,0.0,20,0,106,0.0,0.0005051775267076355,0.3113728052884279
MEDICO PHARMACY #4938 (TN),retailer,148391.0,0.0,20,0,78,0.0,0.00050446730814764,0.3111985940028362
SUNRISE PHARMACY #7702 (NC),retailer,136640.0,0.0,20,0,138,0.0,0.0005032791236754297,0.31090714126408325
PUBLIX PHARMACY #6736 (TN),retailer,135282.0,0.0,20,0,70,0.0,0.0005015425793257989,0.310481179960512
GOOD NEIGHBOR PHARMACY #6129 (NC),retailer,133122.0,0.0,20,0,143,0.0,0.0005007182248287623,0.3102789719856697
CVS PHARMACY #6803 (KY),retailer,127654.0,0.0,20,0,110,0.0,0.0004994239455669532,0.3099614949908192
PEOPLES PHARMACY #2660 (NC),retailer,135848.0,0.0,20,0,159,0.0,0.0004991939403023576,0.30990507642462695
MAIN STREET PHARMACY #7456 (MI),retailer,129065.0,0.0,20,0,63,0.0,0.0004990331612483233,0.3098656385286366
WALGREENS #3635 (NC),retailer,125504.0,0.0,20,0,146,0.0,0.0004986293964862041,0.30976659806102913
HARRIS TEETER PHARMACY #6758 (NC),retailer,129512.0,0.0,20,0,156,0.0,0.0004985558989131079,0.3097485696576359
HOMETOWN PHARMACY #6513 (WV),retailer,124871.0,0.0,20,0,113,0.0,0.0004981184582187669,0.3096412687364494
COMMUNITY PHARMACY #5731 (WV),retailer,120686.0,0.0,20,0,122,0.0,0.0004969311440559416,0.3093500294780606
WINN-DIXIE PHARMACY #2880 (MI),retailer,110997.0,0.0,20,0,66,0.0,0.0004958936594161,0.3090955422778252
HARRIS TEETER PHARMACY #3473 (WV),retailer,116393.0,0.0,20,0,132,0.0,0.0004953819171934895,0.30897001574907174
PEOPLES PHARMACY #4297 (TN),retailer,116115.0,0.0,20,0,80,0.0,0.0004953454784466707,0.3089610775977952
SUNRISE PHARMACY #2784 (IN),retailer,114945.0,0.0,20,0,63,0.0,0.0004952899950138894,0.30894746792790156
CVS PHARMACY #3187 (KY),retailer,115532.0,0.0,20,0,92,0.0,0.0004949321465311438,0.30885969037921773
WALMART PHARMACY #1339 (NC),retailer,113188.0,0.0,20,0,169,0.0,0.0004948555470427965,0.3088409010992801
SUNRISE PHARMACY #7243 (WV),retailer,114965.0,0.0,20,0,119,0.0,0.0004947577509426036,0.30881691244944737
