anomaly_idx,manufacturer,retailer,anomaly_score,match_rank,match_distance,match_recovery_days,match_response_type,match_disruption_type,match_industry
0,IMPAX LABORATORIES INC,TUG VALLEY PHARMACY #1 (WV),5,1,0.771,109.0,Combined Strategy,Labor Strike,Consumer Goods
0,IMPAX LABORATORIES INC,TUG VALLEY PHARMACY #1 (WV),5,2,0.9472,167.0,Combined Strategy,Labor Strike,Electronics
0,IMPAX LABORATORIES INC,TUG VALLEY PHARMACY #1 (WV),5,3,1.1724,224.0,Combined Strategy,Geopolitical,Consumer Goods
1,ACTAVIS PHARMA INC,TUG VALLEY PHARMACY #1 (WV),5,1,0.4626,109.0,Combined Strategy,Labor Strike,Consumer Goods
1,ACTAVIS PHARMA INC,TUG VALLEY PHARMACY #1 (WV),5,2,0.9831,167.0,Combined Strategy,Labor Strike,Electronics
1,ACTAVIS PHARMA INC,TUG VALLEY PHARMACY #1 (WV),5,3,1.2878,77.0,Combined Strategy,Geopolitical,Electronics
2,CADISTA PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),5,1,0.4554,109.0,Combined Strategy,Labor Strike,Consumer Goods
2,CADISTA PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),5,2,1.0068,167.0,Combined Strategy,Labor Strike,Electronics
2,CADISTA PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),5,3,1.2536,77.0,Combined Strategy,Geopolitical,Electronics
3,VINTAGE PHARMACEUTICALS LLC,TUG VALLEY PHARMACY #1 (WV),5,1,0.4543,109.0,Combined Strategy,Labor Strike,Consumer Goods
3,VINTAGE PHARMACEUTICALS LLC,TUG VALLEY PHARMACY #1 (WV),5,2,1.0988,167.0,Combined Strategy,Labor Strike,Electronics
3,VINTAGE PHARMACEUTICALS LLC,TUG VALLEY PHARMACY #1 (WV),5,3,1.1706,77.0,Combined Strategy,Geopolitical,Electronics
4,VINTAGE PHARMACEUTICALS LLC,TUG VALLEY PHARMACY #1 (WV),5,1,0.501,109.0,Combined Strategy,Labor Strike,Consumer Goods
4,VINTAGE PHARMACEUTICALS LLC,TUG VALLEY PHARMACY #1 (WV),5,2,0.9343,167.0,Combined Strategy,Labor Strike,Electronics
4,VINTAGE PHARMACEUTICALS LLC,TUG VALLEY PHARMACY #1 (WV),5,3,1.3042,176.0,Combined Strategy,Labor Strike,Consumer Goods
5,HIKMA PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),5,1,0.5089,109.0,Combined Strategy,Labor Strike,Consumer Goods
5,HIKMA PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),5,2,0.9294,167.0,Combined Strategy,Labor Strike,Electronics
5,HIKMA PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),5,3,1.3059,176.0,Combined Strategy,Labor Strike,Consumer Goods
6,AMNEAL PHARMACEUTICALS LLC,TUG VALLEY PHARMACY #1 (WV),5,1,0.6193,109.0,Combined Strategy,Labor Strike,Consumer Goods
6,AMNEAL PHARMACEUTICALS LLC,TUG VALLEY PHARMACY #1 (WV),5,2,0.9123,167.0,Combined Strategy,Labor Strike,Electronics
6,AMNEAL PHARMACEUTICALS LLC,TUG VALLEY PHARMACY #1 (WV),5,3,1.2384,224.0,Combined Strategy,Geopolitical,Consumer Goods
7,PURDUE PHARMA LP,TUG VALLEY PHARMACY #1 (WV),5,1,0.9133,216.0,Combined Strategy,Natural Disaster,Consumer Goods
7,PURDUE PHARMA LP,TUG VALLEY PHARMACY #1 (WV),5,2,1.3213,224.0,Combined Strategy,Natural Disaster,Consumer Goods
7,PURDUE PHARMA LP,TUG VALLEY PHARMACY #1 (WV),5,3,1.4151,146.0,Combined Strategy,Natural Disaster,Electronics
8,IMPAX LABORATORIES INC,TUG VALLEY PHARMACY #1 (WV),5,1,0.4962,109.0,Combined Strategy,Labor Strike,Consumer Goods
8,IMPAX LABORATORIES INC,TUG VALLEY PHARMACY #1 (WV),5,2,1.1101,77.0,Combined Strategy,Geopolitical,Electronics
8,IMPAX LABORATORIES INC,TUG VALLEY PHARMACY #1 (WV),5,3,1.1115,301.0,Combined Strategy,Geopolitical,Electronics
9,QUALITEST PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),5,1,0.4596,109.0,Combined Strategy,Labor Strike,Consumer Goods
9,QUALITEST PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),5,2,1.1302,167.0,Combined Strategy,Labor Strike,Electronics
9,QUALITEST PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),5,3,1.1529,77.0,Combined Strategy,Geopolitical,Electronics
10,PURDUE PHARMA LP,TUG VALLEY PHARMACY #1 (WV),5,1,1.0826,216.0,Combined Strategy,Natural Disaster,Consumer Goods
10,PURDUE PHARMA LP,TUG VALLEY PHARMACY #1 (WV),5,2,1.4386,146.0,Combined Strategy,Natural Disaster,Electronics
10,PURDUE PHARMA LP,TUG VALLEY PHARMACY #1 (WV),5,3,1.8518,25.0,Combined Strategy,Geopolitical,Consumer Goods
11,JANSSEN PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),5,1,0.4578,109.0,Combined Strategy,Labor Strike,Consumer Goods
11,JANSSEN PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),5,2,1.1209,167.0,Combined Strategy,Labor Strike,Electronics
11,JANSSEN PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),5,3,1.1577,77.0,Combined Strategy,Geopolitical,Electronics
12,VINTAGE PHARMACEUTICALS LLC,TUG VALLEY PHARMACY #1 (WV),5,1,0.8316,109.0,Combined Strategy,Labor Strike,Consumer Goods
12,VINTAGE PHARMACEUTICALS LLC,TUG VALLEY PHARMACY #1 (WV),5,2,0.9693,167.0,Combined Strategy,Labor Strike,Electronics
