risk_rank,entity,node_type,risk_score,betweenness,in_degree,pagerank
1,MIAMI-LUKEN INC,distributor,0.9881301008047931,0.00046797058305698643,0.009341429238673517,0.002172461020745225
2,CARDINAL HEALTH INC,distributor,0.8693132868203758,0.000479350261626389,0.009341429238673517,0.000752902069185
3,HD SMITH WHOLESALE DRUG CO,distributor,0.8637630772707227,0.00047397511043330683,0.009341429238673517,0.0007535157419961566
4,PENN PHARMACEUTICAL SERVICES INC,distributor,0.8629352610781496,0.0004675651675182429,0.009341429238673517,0.0008171499287671148
5,SMITH DRUG COMPANY,distributor,0.8598245123055743,0.00046817310441070546,0.009341429238673517,0.000776471956814898
6,MCKESSON CORPORATION,distributor,0.8598233050752184,0.00046911969779927723,0.009341429238673517,0.0007657337151242057
7,BURLINGTON DRUG COMPANY INC,distributor,0.8593837700940845,0.00046670783355939107,0.009341429238673517,0.0007882863479284094
8,DIRECT RX,distributor,0.8589334285992667,0.00046646820441818127,0.009341429238673517,0.0007861096564136088
9,HENRY SCHEIN INC,distributor,0.8576874879136336,0.00046228383909904916,0.009341429238673517,0.0008199857235096773
10,NATIONAL WHOLESALE DRUG CO INC,distributor,0.8565040237047876,0.0004634033887482373,0.009341429238673517,0.0007944458102104254
11,KEYSOURCE MEDICAL INC,distributor,0.8546252062767518,0.0004640352358600292,0.009341429238673517,0.000766878543913689
12,MORRIS & DICKSON CO LLC,distributor,0.8519683711018375,0.00045870446409936196,0.009341429238673517,0.0007984181024307846
13,PRESCRIPTION SUPPLY INC,distributor,0.8422227718463655,0.0004525497587056828,0.009341429238673517,0.000762292706858664
14,BELLCO DRUG CORP,distributor,0.8417543870560592,0.00044799881887052723,0.009341429238673517,0.0008087681998379943
15,DAKOTA DRUG INC,distributor,0.8412879137100547,0.00045286589848235925,0.009341429238673517,0.0007485560536408446
16,GULF COAST MEDICAL SUPPLY,distributor,0.8374420946315473,0.0004469304831693017,0.009341429238673517,0.0007740312615903071
17,KINRAY LLC,distributor,0.8352202976817112,0.0004456281886141737,0.009341429238673517,0.0007646527325045425
18,ANDA INC,distributor,0.8338799535656471,0.0004465038422916598,0.009341429238673517,0.0007401721411962241
19,AMERISOURCEBERGEN DRUG CORP,distributor,0.8309005698256344,0.00043896560393341894,0.009341429238673517,0.0007932192007264824
20,VALUEDRUGCO,distributor,0.8200665350143799,0.00043635390768304375,0.009341429238673517,0.0007051277492150924
21,FAMILY CARE PHARMACY #2097 (TN),retailer,0.34889319580549516,0.0,0.009341429238673517,0.0005310928103355108
22,FAMILY CARE PHARMACY #6857 (WV),retailer,0.34823293548943185,0.0,0.009341429238673517,0.0005239208613345488
23,SUNRISE PHARMACY #1202 (TN),retailer,0.3481550220411125,0.0,0.009341429238673517,0.0005230745416872199
24,MEDICO PHARMACY #8821 (VA),retailer,0.3478279501995237,0.0,0.009341429238673517,0.0005195217875530455
25,MAIN STREET PHARMACY #5941 (IN),retailer,0.34761903057575994,0.0,0.009341429238673517,0.0005172524388575679
26,MEDICO PHARMACY #7609 (VA),retailer,0.3471154433585182,0.0,0.009341429238673517,0.000511782320857551
27,WINN-DIXIE PHARMACY #7319 (WV),retailer,0.34693236679056644,0.0,0.009341429238673517,0.0005097936873191163
28,SUNRISE PHARMACY #1086 (LA),retailer,0.34665816984735476,0.0,0.009341429238673517,0.0005068152764634421
29,HOMETOWN PHARMACY #3317 (KY),retailer,0.3466441584658467,0.0,0.009341429238673517,0.0005066630805625768
30,GOOD NEIGHBOR PHARMACY #1710 (IN),retailer,0.34663947248669197,0.0,0.009341429238673517,0.0005066121800272885
31,HEALTH MART PHARMACY #4157 (TN),retailer,0.34663369180761705,0.0,0.009341429238673517,0.0005065493885274697
32,COMMUNITY PHARMACY #7732 (TN),retailer,0.3464446202031425,0.0,0.009341429238673517,0.0005044956350732159
33,SUNRISE PHARMACY #9254 (IN),retailer,0.34638824920551003,0.0,0.009341429238673517,0.0005038833160979309
34,MEDICO PHARMACY #8496 (VA),retailer,0.34634755485449303,0.0,0.009341429238673517,0.0005034412816411863
35,WALMART PHARMACY #7337 (OH),retailer,0.34626358316202394,0.0,0.009341429238673517,0.0005025291554975108
36,CORNER DRUG STORE #7510 (TN),retailer,0.34624694968750985,0.0,0.009341429238673517,0.0005023484776224036
37,MEDICO PHARMACY #7590 (OH),retailer,0.34611311171952674,0.0,0.009341429238673517,0.0005008946887797086
38,HEALTH MART PHARMACY #3762 (VA),retailer,0.34602689537080555,0.0,0.009341429238673517,0.0004999581804949694
39,WINN-DIXIE PHARMACY #3858 (IN),retailer,0.3459656265862864,0.0,0.009341429238673517,0.0004992926602641881
40,CORNER DRUG STORE #6343 (TN),retailer,0.345952473374574,0.0,0.009341429238673517,0.0004991497860654743
41,HARRIS TEETER PHARMACY #2996 (LA),retailer,0.34578670481270757,0.0,0.009341429238673517,0.0004973491573698751
42,SUNRISE PHARMACY #1510 (IN),retailer,0.3457478898678592,0.0,0.009341429238673517,0.0004969275375963481
43,PEOPLES PHARMACY #1568 (TN),retailer,0.3456707536523337,0.0,0.009341429238673517,0.0004960896604887625
44,CVS PHARMACY #1067 (VA),retailer,0.34563185868484847,0.0,0.009341429238673517,0.0004956671714849392
45,CORNER DRUG STORE #9369 (NC),retailer,0.34551305538395793,0.0,0.009341429238673517,0.0004943766937833364
46,COMMUNITY PHARMACY #9568 (OH),retailer,0.3453617314024294,0.0,0.009341429238673517,0.0004927329665264622
47,WINN-DIXIE PHARMACY #3848 (PA),retailer,0.34530375872995306,0.0,0.009341429238673517,0.0004921032496703461
48,COMMUNITY PHARMACY #6113 (VA),retailer,0.3452501687511985,0.0,0.009341429238673517,0.0004915211389706124
49,SUNRISE PHARMACY #2204 (IN),retailer,0.34523287713279915,0.0,0.009341429238673517,0.0004913333121358213
50,GOOD NEIGHBOR PHARMACY #9808 (NC),retailer,0.3451964037039281,0.0,0.009341429238673517,0.0004909371266232451
51,WALGREENS #4906 (LA),retailer,0.3450619648308761,0.0,0.009341429238673517,0.0004894768105663526
52,VILLAGE PHARMACY #6885 (VA),retailer,0.3450266357629639,0.0,0.009341429238673517,0.0004890930554516602
53,KROGER PHARMACY #2654 (TN),retailer,0.3450108249147892,0.0,0.009341429238673517,0.0004889213131948376
54,SUNRISE PHARMACY #4944 (MI),retailer,0.3449772831111657,0.0,0.009341429238673517,0.0004885569718901505
55,PEOPLES PHARMACY #7984 (IN),retailer,0.34497477433616397,0.0,0.009341429238673517,0.0004885297208106448
56,VILLAGE PHARMACY #7322 (OH),retailer,0.3449675062467421,0.0,0.009341429238673517,0.0004884507726058235
57,PUBLIX PHARMACY #3017 (VA),retailer,0.344801523722296,0.0,0.009341429238673517,0.0004866478197834033
58,RITE AID #8511 (NC),retailer,0.34478092819228945,0.0,0.009341429238673517,0.00048642410485269874
59,CVS PHARMACY #3854 (IN),retailer,0.3447704575588422,0.0,0.009341429238673517,0.000486310369637566
60,FAMILY CARE PHARMACY #7660 (PA),retailer,0.3447416461311885,0.0,0.009341429238673517,0.0004859974111199173
61,CVS PHARMACY #9598 (WV),retailer,0.3447297553987647,0.0,0.009341429238673517,0.00048586825035642296
62,CORNER DRUG STORE #1796 (VA),retailer,0.3447158179235479,0.0,0.009341429238673517,0.0004857168572482425
63,WINN-DIXIE PHARMACY #1858 (IN),retailer,0.34457828270506746,0.0,0.009341429238673517,0.00048422290774260035
64,PEOPLES PHARMACY #9412 (PA),retailer,0.34454492778843604,0.0,0.009341429238673517,0.00048386059646144075
65,PEOPLES PHARMACY #3435 (WV),retailer,0.3445324894726025,0.0,0.009341429238673517,0.00048372548767987994
66,HARRIS TEETER PHARMACY #9775 (TN),retailer,0.3445079155738695,0.0,0.009341429238673517,0.0004834585584942544
67,RITE AID #7142 (LA),retailer,0.3444394353724045,0.0,0.009341429238673517,0.0004827147056523768
68,HOMETOWN PHARMACY #6304 (IN),retailer,0.3444345560615843,0.0,0.009341429238673517,0.0004826617050895518
69,FAMILY CARE PHARMACY #7240 (IN),retailer,0.344424006218754,0.0,0.009341429238673517,0.0004825471094779327
70,MEDICO PHARMACY #2843 (TN),retailer,0.344401985125724,0.0,0.009341429238673517,0.0004823079096467235
